item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_purchase_coverage_pct,high_view_threshold,purchase_rate_benchmark,product_quadrant,estimated_gap_vs_benchmark,data_reliability_note
Google Land & Sea Tote Bag,Home/New/,5560,1060,44,23,33,19.06,0.79,0.41,69.7,5727,0.83,低浏览 + 低转化,23.4,可用于初步比较
Google Utility BackPack,Lifestyle/,5391,876,59,22,39,16.25,1.09,0.41,56.41,5727,0.83,低浏览 + 低转化,22.6,可用于初步比较
YouTube Crew Socks,Home/Shop by Brand/YouTube/,5241,976,39,21,42,18.62,0.74,0.4,50.0,5727,0.83,低浏览 + 低转化,22.5,可用于初步比较
#IamRemarkable Ladies T-Shirt,Home/Apparel/Women's/,4421,1103,22,14,23,24.95,0.5,0.32,60.87,5727,0.83,低浏览 + 低转化,22.5,可用于初步比较
Google Cork Base Tumbler,Lifestyle/Drinkware/,5609,1526,38,24,34,27.21,0.68,0.43,70.59,5727,0.83,低浏览 + 低转化,22.4,可用于初步比较
Google Campus Bike Carry Pouch,Lifestyle/Bags/,4691,836,22,17,22,17.82,0.47,0.36,77.27,5727,0.83,低浏览 + 低转化,22.0,可用于初步比较
Google Small Cable Organizer Blue,Lifestyle/Small Goods/,4090,971,20,14,19,23.74,0.49,0.34,73.68,5727,0.83,低浏览 + 低转化,20.0,购买样本较少
Candy Cane Android Cardboard Sculpture,Lifestyle/Small Goods/,2382,290,0,0,1,12.17,0.0,0.0,0.0,5727,0.83,低浏览 + 低转化,19.8,购买样本较少
Google Women's Eco Tee Black,Home/Apparel/Women's/,2441,617,1,1,1,25.28,0.04,0.04,100.0,5727,0.83,低浏览 + 低转化,19.3,购买样本较少
Google Tudes Recycled Tee,Home/Apparel/Men's / Unisex/,4650,1236,29,20,21,26.58,0.62,0.43,95.24,5727,0.83,低浏览 + 低转化,18.6,可用于初步比较
YouTube Iconic Play Pin,Home/Shop by Brand/YouTube/,4872,766,43,22,25,15.72,0.88,0.45,88.0,5727,0.83,低浏览 + 低转化,18.5,可用于初步比较
Android Iconic Pin,Lifestyle/Small Goods/,3619,799,20,12,17,22.08,0.55,0.33,70.59,5727,0.83,低浏览 + 低转化,18.1,购买样本较少
Android Iconic Mug Gray,Lifestyle/Drinkware/,4870,1408,47,23,30,28.91,0.97,0.47,76.67,5727,0.83,低浏览 + 低转化,17.5,可用于初步比较
YouTube 25 oz Gear Cap Bottle Black,Home/Shop by Brand/,3147,512,14,9,16,16.27,0.44,0.29,56.25,5727,0.83,低浏览 + 低转化,17.0,购买样本较少
Google Mouse Pad Navy,Lifestyle/Small Goods/,4428,1133,26,20,25,25.59,0.59,0.45,80.0,5727,0.83,低浏览 + 低转化,16.8,可用于初步比较
Google Mesh Bag Blue,Lifestyle/Bags/,4687,830,49,23,31,17.71,1.05,0.49,74.19,5727,0.83,低浏览 + 低转化,15.9,可用于初步比较
Google Women's Microfleece Jacket Black,Home/Shop by Brand/Google/,5590,1281,42,31,33,22.92,0.75,0.55,93.94,5727,0.83,低浏览 + 低转化,15.7,可用于初步比较
Google Mountain View Tee Blue,Men's T-Shirts/,1852,349,0,0,0,18.84,0.0,0.0,,5727,0.83,低浏览 + 低转化,15.4,购买样本较少
Google Super G Tumbler (Blue Lid),Home/Eco-Friendly/,2920,529,13,9,18,18.12,0.45,0.31,50.0,5727,0.83,低浏览 + 低转化,15.2,购买样本较少
Google Cambridge Campus Tote,Home/Campus Collection/,2282,623,5,4,4,27.3,0.22,0.18,100.0,5727,0.83,低浏览 + 低转化,14.8,购买样本较少
Google Cambridge Campus Bottle,Home/Campus Collection/,2332,637,18,5,7,27.32,0.77,0.21,71.43,5727,0.83,低浏览 + 低转化,14.5,购买样本较少
Google Cambridge Campus Ladies Tee,Home/Campus Collection/,2311,626,7,5,6,27.09,0.3,0.22,83.33,5727,0.83,低浏览 + 低转化,14.1,购买样本较少
Google Tee Dark Blue,Home/Sale/,1695,389,0,0,0,22.95,0.0,0.0,,5727,0.83,低浏览 + 低转化,14.1,购买样本较少
Google Phone Stand Bamboo,Lifestyle/Small Goods/,4571,1067,42,24,46,23.34,0.92,0.53,52.17,5727,0.83,低浏览 + 低转化,13.7,可用于初步比较
Snowflake Android Cardboard Sculpture,Lifestyle/Small Goods/,2859,646,20,11,21,22.6,0.7,0.38,52.38,5727,0.83,低浏览 + 低转化,12.9,可用于初步比较
Supernatural Paper Backpack,New,1950,319,19,4,7,16.36,0.97,0.21,57.14,5727,0.83,低浏览 + 低转化,12.1,购买样本较少
Google Tracking Hat,Home/Apparel/Hats/,1448,0,0,0,0,0.0,0.0,0.0,,5727,0.83,低浏览 + 低转化,12.0,购买样本较少
Google LoveHandle Black,Lifestyle/Small Goods/,3533,779,30,18,30,22.05,0.85,0.51,60.0,5727,0.83,低浏览 + 低转化,11.3,可用于初步比较
Google Woodtop Bottle Black,Lifestyle/Drinkware/,4768,1395,60,29,54,29.26,1.26,0.61,53.7,5727,0.83,低浏览 + 低转化,10.5,可用于初步比较
Android Iconic 4&quot; Decal,Home/Stationery/Stickers/,1751,568,13,4,17,32.44,0.74,0.23,23.53,5727,0.83,低浏览 + 低转化,10.5,购买样本较少
Google Tonal Tee Spearmint,Home/Sale/,1225,93,0,0,2,7.59,0.0,0.0,0.0,5727,0.83,低浏览 + 低转化,10.2,购买样本较少
Google Chrome Dino Light Up Water Bottle,Home/New/,2023,429,9,7,7,21.21,0.44,0.35,100.0,5727,0.83,低浏览 + 低转化,9.7,购买样本较少
Google Cambridge Campus Unisex Tee,Home/Campus Collection/,2311,628,15,10,12,27.17,0.65,0.43,83.33,5727,0.83,低浏览 + 低转化,9.2,购买样本较少
Google Tee F/C Black,Sale,1426,450,4,3,7,31.56,0.28,0.21,42.86,5727,0.83,低浏览 + 低转化,8.8,购买样本较少
Google Youth FC Longsleeve Charcoal,Home/Apparel/Kids/,3075,713,31,17,22,23.19,1.01,0.55,77.27,5727,0.83,低浏览 + 低转化,8.6,可用于初步比较
Android Pocket Onesie White,Home/Apparel/Kids/,1036,97,0,0,1,9.36,0.0,0.0,0.0,5727,0.83,低浏览 + 低转化,8.6,购买样本较少
Google Mini Kick Ball,Lifestyle/,2550,433,23,13,35,16.98,0.9,0.51,37.14,5727,0.83,低浏览 + 低转化,8.2,严格路径覆盖较低
Google Cambridge Campus Zip Hoodie,Home/Sale/,2637,697,18,14,16,26.43,0.68,0.53,87.5,5727,0.83,低浏览 + 低转化,7.9,购买样本较少
Google Youth FC Tee Charcoal,Home/Apparel/,3197,771,25,19,28,24.12,0.78,0.59,67.86,5727,0.83,低浏览 + 低转化,7.7,可用于初步比较
Google Women's Puff Jacket Black,Home/Apparel/Women's/,4863,1174,51,33,46,24.14,1.05,0.68,71.74,5727,0.83,低浏览 + 低转化,7.3,可用于初步比较
Google Cambridge Campus Sticker,Home/Campus Collection/,2801,840,25,16,18,29.99,0.89,0.57,88.89,5727,0.83,低浏览 + 低转化,7.3,购买样本较少
Google Tonal Tee Coral,Home/Sale/,1200,268,7,3,6,22.33,0.58,0.25,50.0,5727,0.83,低浏览 + 低转化,7.0,购买样本较少
Google Confetti Slim Task Pad,Home/Stationery/Notebooks/,2649,752,20,15,24,28.39,0.76,0.57,62.5,5727,0.83,低浏览 + 低转化,6.9,可用于初步比较
Google Color Block Notebook,Home/Stationery/Notebooks/,2249,410,16,12,17,18.23,0.71,0.53,70.59,5727,0.83,低浏览 + 低转化,6.7,购买样本较少
Google Cork Tablet Case,Home/Eco-Friendly/,1146,228,5,3,6,19.9,0.44,0.26,50.0,5727,0.83,低浏览 + 低转化,6.5,购买样本较少
Google Cloth & Pouch Black,Lifestyle/Small Goods/,1355,369,6,5,8,27.23,0.44,0.37,62.5,5727,0.83,低浏览 + 低转化,6.2,购买样本较少
Google Mountain View Campus Unisex Tee,Sale,1223,342,6,4,7,27.96,0.49,0.33,57.14,5727,0.83,低浏览 + 低转化,6.1,购买样本较少
Android Iconic Sticker Sheet,Home/Stationery/Stickers/,1805,572,18,9,14,31.69,1.0,0.5,64.29,5727,0.83,低浏览 + 低转化,6.0,购买样本较少
Supernatural Paper Tote,Home/Eco-Friendly/,1407,259,19,6,13,18.41,1.35,0.43,46.15,5727,0.83,低浏览 + 低转化,5.6,购买样本较少
Google Campus Bike Tote Navy,Lifestyle/Bags/,5492,909,58,40,49,16.55,1.06,0.73,81.63,5727,0.83,低浏览 + 低转化,5.5,可用于初步比较
YouTube Play Mug,Home/Shop by Brand/YouTube/,5088,834,58,37,52,16.39,1.14,0.73,71.15,5727,0.83,低浏览 + 低转化,5.1,可用于初步比较
Google Youth FC Zip Hoodie,Home/Apparel/Kids/,1204,156,7,5,5,12.96,0.58,0.42,100.0,5727,0.83,低浏览 + 低转化,4.9,购买样本较少
Google Recycled Pen Green,Home/Eco-Friendly/,1417,325,15,7,10,22.94,1.06,0.49,70.0,5727,0.83,低浏览 + 低转化,4.8,购买样本较少
Google Mens Microfleece Jacket Black,Home/Sale/,1040,153,9,4,9,14.71,0.87,0.38,44.44,5727,0.83,低浏览 + 低转化,4.7,购买样本较少
Supernatural Paper Lunch Sack,Home/Eco-Friendly/,1586,268,14,9,13,16.9,0.88,0.57,69.23,5727,0.83,低浏览 + 低转化,4.1,购买样本较少
Google Shoreline Water Bottle,Home/New/,1658,363,21,10,10,21.89,1.27,0.6,100.0,5727,0.83,低浏览 + 低转化,3.8,购买样本较少
Google Tee Grey,Sale,1393,272,19,9,16,19.53,1.36,0.65,56.25,5727,0.83,低浏览 + 低转化,2.5,购买样本较少
Google Tee Blue,Sale,1846,437,16,13,16,23.67,0.87,0.7,81.25,5727,0.83,低浏览 + 低转化,2.4,购买样本较少
Google See-No Hear-No Set,Lifestyle/Small Goods/,3879,855,48,30,43,22.04,1.24,0.77,69.77,5727,0.83,低浏览 + 低转化,2.3,可用于初步比较
Google Toddler Hero Tee Olive,Home/Apparel/Kids/,1476,256,13,10,16,17.34,0.88,0.68,62.5,5727,0.83,低浏览 + 低转化,2.2,购买样本较少
Google Bear Baby Blanket Beige,Home/Shop by Brand/Google/,2195,589,21,17,33,26.83,0.96,0.77,51.52,5727,0.83,低浏览 + 低转化,1.3,可用于初步比较
Google Youth Hero Tee Maroon,Home/Apparel/Kids/,1838,444,18,14,20,24.16,0.98,0.76,70.0,5727,0.83,低浏览 + 低转化,1.3,可用于初步比较
Google Flat Front Bag Grey,Lifestyle/Bags/,5406,1023,99,44,61,18.92,1.83,0.81,72.13,5727,0.83,低浏览 + 低转化,1.1,可用于初步比较
Google Men's Puff Jacket Black,Home/Shop by Brand/Google/,4327,826,55,35,52,19.09,1.27,0.81,67.31,5727,0.83,低浏览 + 低转化,0.9,可用于初步比较
Google Campus Bike Grid Task Pad,Home/Stationery/Notebooks/,1795,522,20,14,22,29.08,1.11,0.78,63.64,5727,0.83,低浏览 + 低转化,0.9,可用于初步比较
Google Toddler Hero Tee Black,Home/Apparel/Kids/,1887,534,20,15,22,28.3,1.06,0.79,68.18,5727,0.83,低浏览 + 低转化,0.8,可用于初步比较
Google NYC Campus Lapel Pin,Home/Campus Collection/,2318,642,30,19,22,27.7,1.29,0.82,86.36,5727,0.83,低浏览 + 低转化,0.2,可用于初步比较
