item_name_key,item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_share_pct,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_checkout_to_purchase_rate_pct,strict_purchase_coverage_pct,benchmark_view_to_cart_rate_pct,benchmark_view_to_checkout_rate_pct,benchmark_strict_purchase_rate_pct
google campus bike,Google Campus Bike,Lifestyle,2033,170,95,64,96,0.19,8.36,4.67,3.15,67.37,66.67,24.8,1.37,0.83
google chrome dino light up water bottle,Google Chrome Dino Light Up Water Bottle,Home/New/,2023,429,9,7,7,0.19,21.21,0.44,0.35,77.78,100.0,24.8,1.37,0.83
maze pen,Maze Pen,Home/Stationery/,1970,516,53,26,45,0.18,26.19,2.69,1.32,49.06,57.78,24.8,1.37,0.83
supernatural paper backpack,Supernatural Paper Backpack,Home/Eco-Friendly/,1950,319,19,4,7,0.18,16.36,0.97,0.21,21.05,57.14,24.8,1.37,0.83
google mural sticker sheet,Google Mural Sticker Sheet,Small Goods,1909,603,76,51,66,0.18,31.59,3.98,2.67,67.11,77.27,24.8,1.37,0.83
google men's tech fleece vest charcoal,Google Men's Tech Fleece Vest Charcoal,Men's / Unisex,1904,392,70,47,60,0.18,20.59,3.68,2.47,67.14,78.33,24.8,1.37,0.83
#iamremarkable journal,#IamRemarkable Journal,Home/Stationery/Notebooks/,1903,628,36,26,36,0.18,33.0,1.89,1.37,72.22,72.22,24.8,1.37,0.83
google toddler hero tee black,Google Toddler Hero Tee Black,Sale,1887,534,20,15,22,0.17,28.3,1.06,0.79,75.0,68.18,24.8,1.37,0.83
flamingo and friends tee blue,Flamingo and Friends Tee Blue,Men's T-Shirts/,1875,395,36,20,25,0.17,21.07,1.92,1.07,55.56,80.0,24.8,1.37,0.83
google mountain view tee blue,Google Mountain View Tee Blue,Sale,1852,349,0,0,0,0.17,18.84,0.0,0.0,,,24.8,1.37,0.83
google hemp tote,Google Hemp Tote,Home/Eco-Friendly/,1847,407,56,35,48,0.17,22.04,3.03,1.89,62.5,72.92,24.8,1.37,0.83
google tee blue,Google Tee Blue,Home/Sale/,1846,437,16,13,16,0.17,23.67,0.87,0.7,81.25,81.25,24.8,1.37,0.83
google youth hero tee maroon,Google Youth Hero Tee Maroon,Home/Apparel/Kids/,1838,444,18,14,20,0.17,24.16,0.98,0.76,77.78,70.0,24.8,1.37,0.83
google pen citron,Google Pen Citron,Home/Stationery/Writing/,1827,613,54,35,50,0.17,33.55,2.96,1.92,64.81,70.0,24.8,1.37,0.83
android iconic sticker sheet,Android Iconic Sticker Sheet,Home/Stationery/Stickers/,1805,572,18,9,14,0.17,31.69,1.0,0.5,50.0,64.29,24.8,1.37,0.83
google campus bike grid task pad,Google Campus Bike Grid Task Pad,Stationery,1795,522,20,14,22,0.17,29.08,1.11,0.78,70.0,63.64,24.8,1.37,0.83
google youth badge tee navy,Google Youth Badge Tee Navy,Home/Apparel/Kids/,1791,570,25,20,23,0.17,31.83,1.4,1.12,80.0,86.96,24.8,1.37,0.83
android pocket toddler tee navy,Android Pocket Toddler Tee Navy,Home/Apparel/Kids/,1764,547,36,25,27,0.16,31.01,2.04,1.42,69.44,92.59,24.8,1.37,0.83
android iconic 4&quot; decal,Android Iconic 4&quot; Decal,Home/Stationery/Stickers/,1751,568,13,4,17,0.16,32.44,0.74,0.23,30.77,23.53,24.8,1.37,0.83
google youth badge tee olive,Google Youth Badge Tee Olive,Home/Apparel/Kids/,1750,527,35,25,30,0.16,30.11,2.0,1.43,71.43,83.33,24.8,1.37,0.83
google tee red,Google Tee Red,Home/Sale/,1706,424,24,15,22,0.16,24.85,1.41,0.88,62.5,68.18,24.8,1.37,0.83
google tee dark blue,Google Tee Dark Blue,Home/Sale/,1695,389,0,0,0,0.16,22.95,0.0,0.0,,,24.8,1.37,0.83
google shoreline water bottle,Google Shoreline Water Bottle,Lifestyle/,1658,363,21,10,10,0.15,21.89,1.27,0.6,47.62,100.0,24.8,1.37,0.83
google infant charcoal onesie,Google Infant Charcoal Onesie,,1629,399,25,18,42,0.15,24.49,1.53,1.1,72.0,42.86,24.8,1.37,0.83
supernatural paper lunch sack,Supernatural Paper Lunch Sack,Home/Eco-Friendly/,1586,268,14,9,13,0.15,16.9,0.88,0.57,64.29,69.23,24.8,1.37,0.83
google appeel journal red,Google ApPeel Journal Red,Home/Stationery/Notebooks/,1571,473,28,15,22,0.15,30.11,1.78,0.95,53.57,68.18,24.8,1.37,0.83
google clear framed yellow shades,Google Clear Framed Yellow Shades,Lifestyle/,1561,225,58,30,44,0.14,14.41,3.72,1.92,51.72,68.18,24.8,1.37,0.83
google pride sticker,Google Pride Sticker,Home/Stationery/Stickers/,1561,499,63,29,48,0.14,31.97,4.04,1.86,46.03,60.42,24.8,1.37,0.83
google crew striped athletic sock,Google Crew Striped Athletic Sock,Home/Apparel/Socks/,1520,426,60,43,56,0.14,28.03,3.95,2.83,71.67,76.79,24.8,1.37,0.83
google light pen red,Google Light Pen Red,Home/Stationery/Writing/,1511,589,77,49,67,0.14,38.98,5.1,3.24,63.64,73.13,24.8,1.37,0.83
google incognito zip pack,Google Incognito Zip Pack,Bags,1485,142,38,17,23,0.14,9.56,2.56,1.14,44.74,73.91,24.8,1.37,0.83
google men's softshell moss,Google Men's Softshell Moss,Home/Apparel/Men's / Unisex/,1481,293,26,18,30,0.14,19.78,1.76,1.22,69.23,60.0,24.8,1.37,0.83
google toddler hero tee olive,Google Toddler Hero Tee Olive,Home/Apparel/Kids/,1476,256,13,10,16,0.14,17.34,0.88,0.68,76.92,62.5,24.8,1.37,0.83
google confetti task pad,Google Confetti Task Pad,Home/Stationery/Notebooks/,1450,286,28,19,23,0.13,19.72,1.93,1.31,67.86,82.61,24.8,1.37,0.83
google tracking hat,Google Tracking Hat,Home/Apparel/Hats/,1448,0,0,0,0,0.13,0.0,0.0,0.0,,,24.8,1.37,0.83
google tee f/c black,Google Tee F/C Black,Sale,1426,450,4,3,7,0.13,31.56,0.28,0.21,75.0,42.86,24.8,1.37,0.83
google recycled pen green,Google Recycled Pen Green,Home/Eco-Friendly/,1417,325,15,7,10,0.13,22.94,1.06,0.49,46.67,70.0,24.8,1.37,0.83
supernatural paper tote,Supernatural Paper Tote,Home/Eco-Friendly/,1407,259,19,6,13,0.13,18.41,1.35,0.43,31.58,46.15,24.8,1.37,0.83
google tee grey,Google Tee Grey,Sale,1393,272,19,9,16,0.13,19.53,1.36,0.65,47.37,56.25,24.8,1.37,0.83
google keepcup,Google KeepCup,Home/Eco-Friendly/,1391,209,46,28,42,0.13,15.03,3.31,2.01,60.87,66.67,24.8,1.37,0.83
google cloth & pouch black,Google Cloth & Pouch Black,Lifestyle/,1355,369,6,5,8,0.13,27.23,0.44,0.37,83.33,62.5,24.8,1.37,0.83
google pen bright blue,Google Pen Bright Blue,Home/Stationery/Writing/,1354,539,52,35,48,0.13,39.81,3.84,2.58,67.31,72.92,24.8,1.37,0.83
google felt luggage tag,Google Felt Luggage Tag,Home/Eco-Friendly/,1301,279,30,17,20,0.12,21.45,2.31,1.31,56.67,85.0,24.8,1.37,0.83
google cork card holder,Google Cork Card Holder,Sale,1252,262,31,20,24,0.12,20.93,2.48,1.6,64.52,83.33,24.8,1.37,0.83
google cork pencil pouch,Google Cork Pencil Pouch,Lifestyle/Bags/,1241,275,42,14,23,0.11,22.16,3.38,1.13,33.33,60.87,24.8,1.37,0.83
google tonal tee spearmint,Google Tonal Tee Spearmint,Home/Sale/,1225,93,0,0,2,0.11,7.59,0.0,0.0,,0.0,24.8,1.37,0.83
google cork passport holder,Google Cork Passport Holder,Home/Eco-Friendly/,1224,253,32,19,20,0.11,20.67,2.61,1.55,59.38,95.0,24.8,1.37,0.83
google mountain view campus unisex tee,Google Mountain View Campus Unisex Tee,Home/Shop by Brand/Google/,1223,342,6,4,7,0.11,27.96,0.49,0.33,66.67,57.14,24.8,1.37,0.83
google youth fc zip hoodie,Google Youth FC Zip Hoodie,Home/Apparel/Kids/,1204,156,7,5,5,0.11,12.96,0.58,0.42,71.43,100.0,24.8,1.37,0.83
google tonal tee coral,Google Tonal Tee Coral,Sale,1200,268,7,3,6,0.11,22.33,0.58,0.25,42.86,50.0,24.8,1.37,0.83
google light pen green,Google Light Pen Green,Home/Stationery/Writing/,1190,453,67,41,58,0.11,38.07,5.63,3.45,61.19,70.69,24.8,1.37,0.83
android iconic socks,Android Iconic Socks,Home/Apparel/Socks/,1188,372,21,14,19,0.11,31.31,1.77,1.18,66.67,73.68,24.8,1.37,0.83
google knit blanket,Google Knit Blanket,Small Goods,1186,220,23,10,12,0.11,18.55,1.94,0.84,43.48,83.33,24.8,1.37,0.83
google mural socks,Google Mural Socks,Home/Apparel/Socks/,1185,344,34,24,41,0.11,29.03,2.87,2.03,70.59,58.54,24.8,1.37,0.83
google premium sunglasses,Google Premium Sunglasses,Home/Shop by Brand/Google/,1168,229,37,21,32,0.11,19.61,3.17,1.8,56.76,65.63,24.8,1.37,0.83
google cork tablet case,Google Cork Tablet Case,Home/Eco-Friendly/,1146,228,5,3,6,0.11,19.9,0.44,0.26,60.0,50.0,24.8,1.37,0.83
google mural sticky note pad,Google Mural Sticky Note Pad,Home/Stationery/Notebooks/,1141,379,52,35,44,0.11,33.22,4.56,3.07,67.31,79.55,24.8,1.37,0.83
google cork key ring,Google Cork Key Ring,Home/Eco-Friendly/,1133,257,23,12,15,0.1,22.68,2.03,1.06,52.17,80.0,24.8,1.37,0.83
android pocket tee navy,Android Pocket Tee Navy,Men's / Unisex,1097,309,59,37,51,0.1,28.17,5.38,3.37,62.71,72.55,24.8,1.37,0.83
stan and friends onesie green,Stan and Friends Onesie Green,Men's T-Shirts/,1090,200,17,14,24,0.1,18.35,1.56,1.28,82.35,58.33,24.8,1.37,0.83
google pen grey,Google Pen Grey,Home/Stationery/Writing/,1086,452,43,24,31,0.1,41.62,3.96,2.21,55.81,77.42,24.8,1.37,0.83
google red kids sunglasses,Google Red Kids Sunglasses,Home/Shop by Brand/Google/,1079,227,22,18,22,0.1,21.04,2.04,1.67,81.82,81.82,24.8,1.37,0.83
stainless straight straw/cleaner,Stainless Straight Straw/Cleaner,Home/Eco-Friendly/,1072,288,24,15,20,0.1,26.87,2.24,1.4,62.5,75.0,24.8,1.37,0.83
google black cloud zip hoodie,Google Black Cloud Zip Hoodie,Home/New/,1064,296,36,28,46,0.1,27.82,3.38,2.63,77.78,60.87,24.8,1.37,0.83
google women's tech fleece vest charcoal,Google Women's Tech Fleece Vest Charcoal,Home/Sale/,1051,234,13,10,22,0.1,22.26,1.24,0.95,76.92,45.45,24.8,1.37,0.83
google campus bike corkbase mug blue,Google Campus Bike Corkbase Mug Blue,Mugs & Tumblers/,1043,233,47,35,48,0.1,22.34,4.51,3.36,74.47,72.92,24.8,1.37,0.83
google pen grass green,Google Pen Grass Green,Home/Stationery/Writing/,1043,426,32,19,28,0.1,40.84,3.07,1.82,59.38,67.86,24.8,1.37,0.83
google mens microfleece jacket black,Google Mens Microfleece Jacket Black,Sale,1040,153,9,4,9,0.1,14.71,0.87,0.38,44.44,44.44,24.8,1.37,0.83
android pocket onesie white,Android Pocket Onesie White,Home/Apparel/Kids/,1036,97,0,0,1,0.1,9.36,0.0,0.0,,0.0,24.8,1.37,0.83
google frisbee,Google Frisbee,Lifestyle/,1036,140,19,13,21,0.1,13.51,1.83,1.25,68.42,61.9,24.8,1.37,0.83
google packable bag black,Google Packable Bag Black,Bags,1031,198,71,36,48,0.1,19.2,6.89,3.49,50.7,75.0,24.8,1.37,0.83
